country,year,sex,age,suicides_no,population,suicides_per_thousand,,,,183.3528646
Anguilla,1984,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1984,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1984,female,75+ years,0,1664091.14,0,,,,
Anguilla,1984,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1984,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1984,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1984,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1984,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1984,male,75+ years,0,1664091.14,0,,,,
Anguilla,1985,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1985,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1985,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1985,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1985,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1985,female,75+ years,0,1664091.14,0,,,,
Anguilla,1985,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1985,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1985,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1985,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1985,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1985,male,75+ years,0,1664091.14,0,,,,
Anguilla,1986,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1986,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1986,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1986,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1986,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1986,female,75+ years,0,1664091.14,0,,,,
Anguilla,1986,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1986,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1986,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1986,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1986,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1986,male,75+ years,0,1664091.14,0,,,,
Anguilla,1987,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1987,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1987,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1987,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1987,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1987,female,75+ years,0,1664091.14,0,,,,
Anguilla,1987,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1987,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1987,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1987,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1987,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1987,male,75+ years,0,1664091.14,0,,,,
Anguilla,1988,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1988,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1988,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1988,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1988,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1988,female,75+ years,0,1664091.14,0,,,,
Anguilla,1988,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1988,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1988,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1988,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1988,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1988,male,75+ years,0,1664091.14,0,,,,
Anguilla,1989,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1989,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1989,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1989,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1989,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1989,female,75+ years,0,1664091.14,0,,,,
Anguilla,1989,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1989,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1989,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1989,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1989,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1989,male,75+ years,0,1664091.14,0,,,,
Anguilla,1990,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1990,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1990,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1990,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1990,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1990,female,75+ years,0,1664091.14,0,,,,
Anguilla,1990,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1990,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1990,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1990,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1990,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1990,male,75+ years,0,1664091.14,0,,,,
Anguilla,1991,female,15-24 years,0,1664091.14,0,,,,
Anguilla,1991,female,25-34 years,0,1664091.14,0,,,,
Anguilla,1991,female,35-54 years,0,1664091.14,0,,,,
Anguilla,1991,female,5-14 years,0,1664091.14,0,,,,
Anguilla,1991,female,55-74 years,0,1664091.14,0,,,,
Anguilla,1991,female,75+ years,0,1664091.14,0,,,,
Anguilla,1991,male,15-24 years,0,1664091.14,0,,,,
Anguilla,1991,male,25-34 years,0,1664091.14,0,,,,
Anguilla,1991,male,35-54 years,0,1664091.14,0,,,,
Anguilla,1991,male,5-14 years,0,1664091.14,0,,,,
Anguilla,1991,male,55-74 years,0,1664091.14,0,,,,
Anguilla,1991,male,75+ years,0,1664091.14,0,,,,
